2024,Institution,Location,Score,Subject
1,Harvard_University,United_States,97.9,Arts__Humanities
2,University_of_Cambridge,United_Kingdom,96.9,Arts__Humanities
3,University_of_Oxford,United_Kingdom,96.8,Arts__Humanities
4,Stanford_University,United_States,93.7,Arts__Humanities
5,University_of_California_Berkeley_UCB,United_States,92.1,Arts__Humanities
6,Yale_University,United_States,90.2,Arts__Humanities
7,Massachusetts_Institute_of_Technology_MIT_,United_States,89.7,Arts__Humanities
=8,New_York_University_NYU,United_States,89.6,Arts__Humanities
=8,University_of_California_Los_Angeles_UCLA,United_States,89.6,Arts__Humanities
=10,UCL,United_Kingdom,88.3,Arts__Humanities
=10,University_of_Toronto,Canada,88.3,Arts__Humanities
12,The_University_of_Edinburgh,United_Kingdom,88.2,Arts__Humanities
13,Columbia_University,United_States,87.9,Arts__Humanities
14,Princeton_University,United_States,87.4,Arts__Humanities
15,University_of_Chicago,United_States,86.6,Arts__Humanities
16,Sorbonne_University,France,85.1,Arts__Humanities
17,University_of_MichiganAnn_Arbor,United_States,84.9,Arts__Humanities
18,University_of_British_Columbia,Canada,84.7,Arts__Humanities
19,Universit_Paris_1_PanthonSorbonne_,France,84.1,Arts__Humanities
20,Universidad_Nacional_Autnoma_de_Mxico_UNAM,Mexico,84.0,Arts__Humanities
21,University_of_Amsterdam,Netherlands,83.7,Arts__Humanities
=22,Kings_College_London,United_Kingdom,83.6,Arts__Humanities
=22,Peking_University,China_Mainland,83.6,Arts__Humanities
=22,The_University_of_Melbourne,Australia,83.6,Arts__Humanities
25,Pontificia_Universidad_Catlica_de_Chile_UC,Chile,83.2,Arts__Humanities
26,Universidad_de_Buenos_Aires_UBA,Argentina,83.1,Arts__Humanities
=27,The_University_of_Manchester,United_Kingdom,82.8,Arts__Humanities
=27,University_of_Pennsylvania,United_States,82.8,Arts__Humanities
=29,Cornell_University,United_States,82.5,Arts__Humanities
=29,HumboldtUniversitt_zu_Berlin,Germany,82.5,Arts__Humanities
=29,McGill_University,Canada,82.5,Arts__Humanities
=32,The_University_of_Hong_Kong,Hong_Kong_SAR,82.4,Arts__Humanities
=32,The_University_of_Tokyo,Japan,82.4,Arts__Humanities
=34,The_University_of_Sydney,Australia,81.9,Arts__Humanities
=34,University_of_Texas_at_Austin,United_States,81.9,Arts__Humanities
36,Tsinghua_University,China_Mainland,81.8,Arts__Humanities
37,National_University_of_Singapore_NUS,Singapore,81.6,Arts__Humanities
=38,LudwigMaximiliansUniversitt_Mnchen,Germany,81.4,Arts__Humanities
=38,The_Australian_National_University,Australia,81.4,Arts__Humanities
40,Seoul_National_University,South_Korea,81.2,Arts__Humanities
41,Freie_Universitaet_Berlin,Germany,81.1,Arts__Humanities
42,Durham_University,United_Kingdom,81.0,Arts__Humanities
43,The_London_School_of_Economics_and_Political_Science_LSE,United_Kingdom,80.7,Arts__Humanities
44,Sapienza_University_of_Rome,Italy,80.6,Arts__Humanities
45,Leiden_University,Netherlands,80.5,Arts__Humanities
46,Universidade_de_So_Paulo,Brazil,80.3,Arts__Humanities
47,The_Chinese_University_of_Hong_Kong_CUHK,Hong_Kong_SAR,80.0,Arts__Humanities
=48,KU_Leuven,Belgium,79.7,Arts__Humanities
=48,The_University_of_New_South_Wales_UNSW_Sydney,Australia,79.7,Arts__Humanities
50,Alma_Mater_Studiorum__University_of_Bologna,Italy,79.6,Arts__Humanities
51,University_of_Leeds,United_Kingdom,79.5,Arts__Humanities
52,Trinity_College_Dublin_The_University_of_Dublin,Ireland,79.4,Arts__Humanities
53,Brown_University,United_States,79.2,Arts__Humanities
=54,Carnegie_Mellon_University,United_States,79.1,Arts__Humanities
=54,Duke_University,United_States,79.1,Arts__Humanities
56,University_of_St_Andrews,United_Kingdom,78.8,Arts__Humanities
57,Delft_University_of_Technology,Netherlands,78.7,Arts__Humanities
=58,Lomonosov_Moscow_State_University,Russia,78.6,Arts__Humanities
=58,University_of_Vienna,Austria,78.6,Arts__Humanities
=60,Politecnico_di_Milano,Italy,78.5,Arts__Humanities
=60,Universit_PSL,France,78.5,Arts__Humanities
62,Kyoto_University,Japan,78.3,Arts__Humanities
63,Waseda_University,Japan,78.2,Arts__Humanities
=64,Monash_University,Australia,78.1,Arts__Humanities
=64,University_of_Birmingham,United_Kingdom,78.1,Arts__Humanities
=66,Nanyang_Technological_University_Singapore_NTU,Singapore,78.0,Arts__Humanities
=66,National_Taiwan_University_NTU,Taiwan,78.0,Arts__Humanities
=66,The_University_of_Warwick,United_Kingdom,78.0,Arts__Humanities
69,University_of_Southern_California,United_States,77.9,Arts__Humanities
70,The_University_of_Auckland,New_Zealand,77.8,Arts__Humanities
71,University_of_Glasgow,United_Kingdom,77.5,Arts__Humanities
=72,Complutense_University_of_Madrid,Spain,77.4,Arts__Humanities
=72,RuprechtKarlsUniversitt_Heidelberg,Germany,77.4,Arts__Humanities
=72,Yonsei_University,South_Korea,77.4,Arts__Humanities
75,Fudan_University,China_Mainland,77.3,Arts__Humanities
76,Korea_University,South_Korea,77.2,Arts__Humanities
=77,Lancaster_University,United_Kingdom,76.8,Arts__Humanities
=77,Universidad_de_Chile,Chile,76.8,Arts__Humanities
=79,University_of_Helsinki,Finland,76.7,Arts__Humanities
=79,University_of_Washington,United_States,76.7,Arts__Humanities
=79,University_of_York,United_Kingdom,76.7,Arts__Humanities
82,The_University_of_Sheffield,United_Kingdom,76.5,Arts__Humanities
83,University_of_Copenhagen,Denmark,76.4,Arts__Humanities
84,University_of_WisconsinMadison,United_States,76.2,Arts__Humanities
85,Pennsylvania_State_University,United_States,76.1,Arts__Humanities
=86,University_of_California_San_Diego_UCSD,United_States,76.0,Arts__Humanities
=86,University_of_Illinois_at_UrbanaChampaign,United_States,76.0,Arts__Humanities
=88,Boston_University,United_States,75.9,Arts__Humanities
=88,University_of_Bristol,United_Kingdom,75.9,Arts__Humanities
90,Newcastle_University,United_Kingdom,75.8,Arts__Humanities
=91,City_University_of_New_York,United_States,75.7,Arts__Humanities
=91,The_University_of_Queensland,Australia,75.7,Arts__Humanities
=91,University_of_Reading,United_Kingdom,75.7,Arts__Humanities
=94,The_University_of_Exeter,United_Kingdom,75.6,Arts__Humanities
=94,Universitat_de_Barcelona,Spain,75.6,Arts__Humanities
=94,Universiti_Malaya_UM,Malaysia,75.6,Arts__Humanities
97,Johns_Hopkins_University,United_States,75.4,Arts__Humanities
=98,Universidad_de_los_Andes,Colombia,75.2,Arts__Humanities
=98,Zhejiang_University,China_Mainland,75.2,Arts__Humanities
=100,Eberhard_Karls_Universitt_Tbingen,Germany,75.0,Arts__Humanities
=100,Queen_Mary_University_of_London,United_Kingdom,75.0,Arts__Humanities
=100,The_Hong_Kong_Polytechnic_University,Hong_Kong_SAR,75.0,Arts__Humanities
=100,The_Ohio_State_University,United_States,75.0,Arts__Humanities
=104,Northwestern_University,United_States,74.9,Arts__Humanities
=104,University_of_Nottingham,United_Kingdom,74.9,Arts__Humanities
=106,Indiana_University_Bloomington,United_States,74.8,Arts__Humanities
=106,RMIT_University,Australia,74.8,Arts__Humanities
=106,Utrecht_University,Netherlands,74.8,Arts__Humanities
=109,Georgetown_University,United_States,74.6,Arts__Humanities
=109,Universitat_Autnoma_de_Barcelona,Spain,74.6,Arts__Humanities
=109,University_of_Oslo,Norway,74.6,Arts__Humanities
112,University_College_Dublin,Ireland,74.5,Arts__Humanities
113,Universidad_Nacional_de_Colombia,Colombia,74.4,Arts__Humanities
114,Aarhus_University,Denmark,74.2,Arts__Humanities
=115,Arizona_State_University,United_States,74.1,Arts__Humanities
=115,SOAS_University_of_London_,United_Kingdom,74.1,Arts__Humanities
=117,The_New_School,United_States,74.0,Arts__Humanities
=117,Universit_de_Montral_,Canada,74.0,Arts__Humanities
=119,Pontificia_Universidad_Catlica_del_Per,Peru,73.9,Arts__Humanities
=119,Stockholm_University,Sweden,73.9,Arts__Humanities
=121,King_Abdulaziz_University_KAU,Saudi_Arabia,73.8,Arts__Humanities
=121,Nanjing_University,China_Mainland,73.8,Arts__Humanities
=121,University_of_Groningen,Netherlands,73.8,Arts__Humanities
=124,Lund_University,Sweden,73.7,Arts__Humanities
=124,Universidade_Federal_do_Rio_de_Janeiro,Brazil,73.7,Arts__Humanities
=126,Michigan_State_University,United_States,73.6,Arts__Humanities
=126,University_of_Massachusetts_Amherst,United_States,73.6,Arts__Humanities
129,Universidade_Estadual_de_Campinas_Unicamp,Brazil,73.5,Arts__Humanities
130,University_of_Zurich,Switzerland,73.4,Arts__Humanities
131,Beijing_Normal_University_,China_Mainland,73.3,Arts__Humanities
=132,Aalto_University,Finland,73.2,Arts__Humanities
=132,GoetheUniversity_Frankfurt_am_Main,Germany,73.2,Arts__Humanities
=132,University_of_Notre_Dame,United_States,73.2,Arts__Humanities
135,Victoria_University_of_Wellington,New_Zealand,73.1,Arts__Humanities
136,AlbertLudwigsUniversitaet_Freiburg,Germany,73.0,Arts__Humanities
=137,University_of_Alberta,Canada,72.9,Arts__Humanities
=137,University_of_Geneva,Switzerland,72.9,Arts__Humanities
=139,Ghent_University,Belgium,72.8,Arts__Humanities
=139,The_University_of_Arizona,United_States,72.8,Arts__Humanities
=139,Universit_di_Padova,Italy,72.8,Arts__Humanities
=142,Goldsmiths_University_of_London,United_Kingdom,72.7,Arts__Humanities
=142,University_of_Liverpool,United_Kingdom,72.7,Arts__Humanities
144,Shanghai_Jiao_Tong_University,China_Mainland,72.6,Arts__Humanities
=145,HSE_University,Russia,72.5,Arts__Humanities
=145,Renmin_Peoples_University_of_China,China_Mainland,72.5,Arts__Humanities
=145,University_of_North_Carolina_Chapel_Hill,United_States,72.5,Arts__Humanities
=148,Cardiff_University,United_Kingdom,72.4,Arts__Humanities
=148,Universidad_Autnoma_de_Madrid,Spain,72.4,Arts__Humanities
=148,University_of_Pittsburgh,United_States,72.4,Arts__Humanities
=151,City_University_of_Hong_Kong,Hong_Kong_SAR,72.3,Arts__Humanities
=151,LN_Gumilyov_Eurasian_National_University_ENU,Kazakhstan,72.3,Arts__Humanities
153,University_of_Warsaw_,Poland,72.2,Arts__Humanities
=154,University_of_California_Irvine,United_States,72.1,Arts__Humanities
=154,University_of_California_Santa_Barbara_UCSB,United_States,72.1,Arts__Humanities
=154,University_of_Maryland_College_Park,United_States,72.1,Arts__Humanities
=157,Charles_University,Czech_Republic,72.0,Arts__Humanities
=157,University_of_Cologne,Germany,72.0,Arts__Humanities
=157,York_University,Canada,72.0,Arts__Humanities
160,Ca_Foscari_University_of_Venice_,Italy,71.9,Arts__Humanities
161,KAIST__Korea_Advanced_Institute_of_Science__Technology,South_Korea,71.8,Arts__Humanities
162,Macquarie_University,Australia,71.7,Arts__Humanities
163,Uppsala_University,Sweden,71.6,Arts__Humanities
=164,Rutgers_UniversityNew_Brunswick,United_States,71.4,Arts__Humanities
=164,Universitt_Hamburg,Germany,71.4,Arts__Humanities
=164,University_of_Southampton,United_Kingdom,71.4,Arts__Humanities
167,Oxford_Brookes_University,United_Kingdom,71.3,Arts__Humanities
168,University_of_Virginia,United_States,71.2,Arts__Humanities
=169,Hanyang_University,South_Korea,71.1,Arts__Humanities
=169,RUDN_University,Russia,71.1,Arts__Humanities
=171,Chulalongkorn_University,Thailand,71.0,Arts__Humanities
=171,Pontificia_Universidad_Javeriana,Colombia,71.0,Arts__Humanities
=171,Sungkyunkwan_UniversitySKKU,South_Korea,71.0,Arts__Humanities
=171,Universit_catholique_de_Louvain_UCLouvain,Belgium,71.0,Arts__Humanities
=171,University_of_Granada,Spain,71.0,Arts__Humanities
=171,University_of_Technology_Sydney,Australia,71.0,Arts__Humanities
177,Tongji_University,China_Mainland,70.9,Arts__Humanities
=178,The_University_of_Western_Australia,Australia,70.8,Arts__Humanities
=178,University_of_Salamanca,Spain,70.8,Arts__Humanities
=180,University_of_Minnesota_Twin_Cities,United_States,70.7,Arts__Humanities
=180,Wuhan_University,China_Mainland,70.7,Arts__Humanities
182,University_of_Navarra,Spain,70.6,Arts__Humanities
=183,AlFarabi_Kazakh_National_University,Kazakhstan,70.4,Arts__Humanities
=183,Keio_University,Japan,70.4,Arts__Humanities
=183,Loughborough_University,United_Kingdom,70.4,Arts__Humanities
=183,Queens_University_at_Kingston,Canada,70.4,Arts__Humanities
=183,University_of_California_Davis,United_States,70.4,Arts__Humanities
=188,Ewha_Womans_University,South_Korea,70.2,Arts__Humanities
=188,Queens_University_Belfast,United_Kingdom,70.2,Arts__Humanities
=188,Tecnolgico_de_Monterrey,Mexico,70.2,Arts__Humanities
=188,University_of_Gttingen,Germany,70.2,Arts__Humanities
=188,University_of_Pisa,Italy,70.2,Arts__Humanities
=193,Imperial_College_London,United_Kingdom,70.1,Arts__Humanities
=193,University_of_Milan,Italy,70.1,Arts__Humanities
=195,Osaka_University,Japan,70.0,Arts__Humanities
=195,Radboud_University_,Netherlands,70.0,Arts__Humanities
197,Universitat_Pompeu_Fabra_Barcelona,Spain,69.8,Arts__Humanities
=198,Jagiellonian_University,Poland,69.7,Arts__Humanities
=198,Saint_Petersburg_State_University,Russia,69.7,Arts__Humanities
=200,Kyung_Hee_University,South_Korea,69.6,Arts__Humanities
=200,Universit_Cattolica_del_Sacro_Cuore,Italy,69.6,Arts__Humanities
202,University_of_Galway,Ireland,69.5,Arts__Humanities
=203,Concordia_University,Canada,69.4,Arts__Humanities
=203,National_Taiwan_Normal_University,Taiwan,69.4,Arts__Humanities
=203,Universidad_de_Santiago_de_Chile_USACH,Chile,69.4,Arts__Humanities
=203,Western_University,Canada,69.4,Arts__Humanities
=207,Purdue_University,United_States,69.3,Arts__Humanities
=207,Universidad_de_Sevilla,Spain,69.3,Arts__Humanities
=207,University_of_Ottawa,Canada,69.3,Arts__Humanities
=210,Boston_College,United_States,69.2,Arts__Humanities
=210,University_of_Calgary,Canada,69.2,Arts__Humanities
=210,University_of_Delhi,India,69.2,Arts__Humanities
=210,University_of_Hawaii_at_Mnoa,United_States,69.2,Arts__Humanities
=214,Politecnico_di_Torino,Italy,69.1,Arts__Humanities
=214,Royal_Holloway_University_of_London,United_Kingdom,69.1,Arts__Humanities
=214,The_University_of_Adelaide,Australia,69.1,Arts__Humanities
=214,University_of_Cape_Town,South_Africa,69.1,Arts__Humanities
=218,HUFS__Hankuk_Korea_University_of_Foreign_Studies_,South_Korea,69.0,Arts__Humanities
=218,Universiti_Sains_Malaysia_USM,Malaysia,69.0,Arts__Humanities
220,Universitas_Indonesia,Indonesia,68.8,Arts__Humanities
=221,Etvs_Lornd_University,Hungary,68.7,Arts__Humanities
=223,University_of_Illinois_at_Chicago_UIC,United_States,68.6,Arts__Humanities
=223,University_of_Sussex,United_Kingdom,68.6,Arts__Humanities
225,Universiti_Kebangsaan_Malaysia_UKM,Malaysia,68.5,Arts__Humanities
=226,American_University_of_Beirut_AUB,Lebanon,68.4,Arts__Humanities
=226,Queensland_University_of_Technology_QUT,Australia,68.4,Arts__Humanities
=228,Simon_Fraser_University,Canada,68.3,Arts__Humanities
=228,Taylors_University,Malaysia,68.3,Arts__Humanities
=228,University_of_Otago,New_Zealand,68.3,Arts__Humanities
=231,National_Cheng_Kung_University_NCKU,Taiwan,68.2,Arts__Humanities
=233,Erasmus_University_Rotterdam_,Netherlands,68.1,Arts__Humanities
=233,University_of_Bergen,Norway,68.1,Arts__Humanities
=235,AixMarseille_University,France,68.0,Arts__Humanities
=235,Birkbeck_University_of_London,United_Kingdom,68.0,Arts__Humanities
=235,Sun_Yatsen_University,China_Mainland,68.0,Arts__Humanities
=235,University_of_Lisbon_,Portugal,68.0,Arts__Humanities
=235,University_of_Turin,Italy,68.0,Arts__Humanities
=240,Aristotle_University_of_Thessaloniki,Greece,67.9,Arts__Humanities
=240,George_Washington_University,United_States,67.9,Arts__Humanities
=240,Middle_East_Technical_University,Turkey,67.9,Arts__Humanities
=240,The_Hebrew_University_of_Jerusalem,Israel,67.9,Arts__Humanities
=244,Boazii_University,Turkey,67.7,Arts__Humanities
=244,Georgia_Institute_of_Technology,United_States,67.7,Arts__Humanities
=244,Jawaharlal_Nehru_University,India,67.7,Arts__Humanities
=244,National_Tsing_Hua_University,Taiwan,67.7,Arts__Humanities
=244,Rheinische_FriedrichWilhelmsUniversitt_Bonn,Germany,67.7,Arts__Humanities
=244,University_of_Bern,Switzerland,67.7,Arts__Humanities
=244,University_of_Florence,Italy,67.7,Arts__Humanities
=251,Cairo_University,Egypt,67.6,Arts__Humanities
=251,Deakin_University,Australia,67.6,Arts__Humanities
=251,National_and_Kapodistrian_University_of_Athens,Greece,67.6,Arts__Humanities
=251,Rice_University,United_States,67.6,Arts__Humanities
=251,Ritsumeikan_University,Japan,67.6,Arts__Humanities
=251,Sogang_University,South_Korea,67.6,Arts__Humanities
=251,Universidad_Nacional_de_La_Plata_UNLP,Argentina,67.6,Arts__Humanities
=258,The_University_of_Newcastle_Australia_UON,Australia,67.5,Arts__Humanities
=258,Universite_libre_de_Bruxelles,Belgium,67.5,Arts__Humanities
=258,University_of_Wollongong,Australia,67.5,Arts__Humanities
=261,Indian_Institute_of_Technology_Bombay_IITB,India,67.4,Arts__Humanities
=261,National_Chengchi_University,Taiwan,67.4,Arts__Humanities
=261,Texas_AM_University,United_States,67.4,Arts__Humanities
=261,Universitt_Leipzig,Germany,67.4,Arts__Humanities
=261,University_of_Naples__Federico_II,Italy,67.4,Arts__Humanities
=266,Swansea_University,United_Kingdom,67.3,Arts__Humanities
=266,University_of_Gothenburg,Sweden,67.3,Arts__Humanities
=268,Tohoku_University,Japan,67.2,Arts__Humanities
=268,Universitat_Politcnica_de_Catalunya__BarcelonaTech_UPC,Spain,67.2,Arts__Humanities
=268,University_of_Basel,Switzerland,67.2,Arts__Humanities
=268,University_of_California_Santa_Cruz,United_States,67.2,Arts__Humanities
272,Gadjah_Mada_University,Indonesia,67.1,Arts__Humanities
=273,Sciences_Po_,France,67.0,Arts__Humanities
=273,Universidad_Diego_Portales_UDP,Chile,67.0,Arts__Humanities
=273,University_of_Aberdeen,United_Kingdom,67.0,Arts__Humanities
=273,Vrije_Universiteit_Amsterdam,Netherlands,67.0,Arts__Humanities
=273,Westflische_WilhelmsUniversitt_Mnster_,Germany,67.0,Arts__Humanities
=280,University_of_East_Anglia_UEA,United_Kingdom,66.9,Arts__Humanities
=280,University_of_Porto,Portugal,66.9,Arts__Humanities
=282,Emory_University,United_States,66.8,Arts__Humanities
=282,Nagoya_University,Japan,66.8,Arts__Humanities
=282,University_of_Bath,United_Kingdom,66.8,Arts__Humanities
=282,University_of_Florida,United_States,66.8,Arts__Humanities
=286,Technische_Universitt_Berlin_TU_Berlin,Germany,66.6,Arts__Humanities
=286,Universitat_de_Valencia,Spain,66.6,Arts__Humanities
=288,California_Institute_of_Technology_Caltech,United_States,66.5,Arts__Humanities
=288,Sofia_University_St_Kliment_Ohridski,Bulgaria,66.5,Arts__Humanities
=288,Universit_degli_studi_Roma_Tre,Italy,66.5,Arts__Humanities
=288,Universit_Grenoble_Alpes,France,66.5,Arts__Humanities
=288,University_College_Cork,Ireland,66.5,Arts__Humanities
=288,University_of_Huddersfield,United_Kingdom,66.5,Arts__Humanities
=294,Istanbul_University,Turkey,66.4,Arts__Humanities
=294,University_of_Kent,United_Kingdom,66.4,Arts__Humanities
=294,University_of_Waterloo,Canada,66.4,Arts__Humanities
=298,ChungAng_University_CAU,South_Korea,66.3,Arts__Humanities
=298,Dartmouth_College,United_States,66.3,Arts__Humanities
=298,Griffith_University,Australia,66.3,Arts__Humanities
=298,Universidad_de_la_Repblica_Udelar,Uruguay,66.3,Arts__Humanities
=302,_Western_Sydney_University,Australia,66.2,Arts__Humanities
=302,Universit_ParisSaclay,France,66.2,Arts__Humanities
=302,Universiti_Putra_Malaysia_UPM,Malaysia,66.2,Arts__Humanities
=302,University_of_Connecticut,United_States,66.2,Arts__Humanities
=306,Universidad_Iberoamericana_IBERO,Mexico,66.1,Arts__Humanities
=306,Universiti_Teknologi_Malaysia_,Malaysia,66.1,Arts__Humanities
=306,University_of_Canterbury__Te_Whare_Wnanga_o_Waitaha,New_Zealand,66.1,Arts__Humanities
=309,Hongik_University_,South_Korea,66.0,Arts__Humanities
=309,Istanbul_Technical_University,Turkey,66.0,Arts__Humanities
=309,Johannes_Gutenberg_Universitt_Mainz,Germany,66.0,Arts__Humanities
=312,Curtin_University,Australia,65.9,Arts__Humanities
=312,Stellenbosch_University,South_Africa,65.9,Arts__Humanities
